id,name,detail,date,stature,school
484,india78 Bhavivikta Nyaya,reputational rival of Dharmakirti +,500,Minor philosopher,
485,india79 Shilabhadra,"Brahman, Nalanda head, Yogacara",600,Minor philosopher,Yogacara
486,india80 Yashomitra,"Sarvastivadin, crit. Vasubandhu II as Sautrantika +",600,Minor philosopher,
487,india81 Samathadeva,Sarvastivadin +,600,Minor philosopher,
488,india82 Purnavardhana,Sarvastivadin +,600,Minor philosopher,
489,india83 Jnanaprabha,Svatantrika +,600,Minor philosopher,Madhyamika
490,india84 Gunabhadra?,Mahayana +,600,Minor philosopher,
491,india85 Simhabhadra,Mahayana +,600,Minor philosopher,
492,india86 Prajnagupta,Mahayana +,600,Minor philosopher,
493,india87 Jnanachandra,at Nalanda +,600,Minor philosopher,
494,india88 Ratnashimha,Mahayana +,600,Minor philosopher,
495,india89 Divakaramitra,Mahayana +,600,Minor philosopher,
496,india90 Tathagatagarbha,Mahayana +,600,Minor philosopher,
497,india91 Nagabodhi,Vajrayana tantrist sutra +,600,Minor philosopher,
498,india92 Jina,"Yogacara, logic +",600,Minor philosopher,
499,india93 Jinendrabuddhi,Buddhist logic +,600,Minor philosopher,
500,india94 Ishvarasena,,600,Minor philosopher,
